State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
VIC,Taylors Hill,394,162,1668,1037,1589,3827,9,874,394,682,4291,14920
VIC,Taylors Lakes,346,181,1867,1172,1930,4874,0,1204,510,952,2478,15518
VIC,Teal Point,0,0,3,0,11,22,0,5,0,4,13,59
VIC,Tecoma,84,59,260,230,340,445,0,113,48,120,389,2076
VIC,Teddywaddy,0,0,3,0,0,5,0,4,4,0,0,15
VIC,Teddywaddy West,0,0,3,0,3,6,0,3,0,4,0,15
VIC,Teesdale (Vic.),21,45,140,127,341,391,4,122,29,117,389,1720
VIC,Telangatuk East,0,0,6,9,8,18,0,5,4,0,17,66
VIC,Telford,0,0,3,0,3,6,0,3,5,0,3,25
VIC,Telopea Downs,0,0,6,8,7,9,0,0,0,3,13,46
VIC,Templestowe,1097,397,3229,1258,1292,4130,7,1031,540,1047,2589,16620
VIC,Templestowe Lower,812,331,2472,1121,1110,2985,3,973,451,901,2274,13432
VIC,Tempy,0,0,3,0,17,16,0,3,0,5,3,53
VIC,Tenby Point,4,0,0,21,33,47,0,22,7,24,23,185
VIC,Tennyson (Vic.),0,0,7,0,0,14,0,7,0,8,12,48
VIC,Terang,21,27,125,111,333,591,0,278,49,348,406,2289
VIC,Terip Terip,0,0,4,8,4,13,0,11,0,3,4,60
VIC,Terrappee,0,4,4,0,0,3,0,0,0,0,8,24
VIC,Terrick Terrick,0,0,0,0,0,0,0,0,0,3,3,13
VIC,Terrick Terrick East,0,0,0,0,0,6,0,0,0,0,0,3
VIC,Tesbury,0,0,7,11,16,28,0,11,0,14,29,112
VIC,Tetoora Road,0,0,7,0,5,19,0,0,4,6,14,67
VIC,Thalia,0,0,5,0,0,3,0,0,0,0,3,7
VIC,The Basin (Vic.),97,94,420,368,781,1117,0,235,87,341,875,4410
VIC,The Cove,0,0,0,0,0,4,0,0,0,7,0,10
VIC,The Gurdies,4,3,10,13,47,62,0,20,4,11,12,185
VIC,The Heart,0,4,7,3,6,4,0,0,0,3,10,29
VIC,The Honeysuckles,0,0,5,8,20,28,0,10,0,0,5,79
VIC,The Patch,42,30,165,115,141,202,0,65,22,73,213,1064
VIC,The Sisters,0,0,4,5,15,57,0,14,4,13,26,141
VIC,Thologolong,0,0,5,0,3,3,0,0,0,0,0,14
VIC,Thomastown,501,132,1540,1179,1943,5649,18,3304,1067,1820,3366,20522
VIC,Thomson (Baw Baw - Vic.),0,0,0,0,0,0,0,0,0,0,0,0
VIC,Thomson (Greater Geelong - Vic.),32,22,140,116,263,373,4,187,44,199,229,1612
VIC,Thoona,3,4,8,8,18,40,0,5,3,16,21,129
VIC,Thornbury,1470,764,3957,1344,1401,3294,3,1375,543,1423,2977,18569
VIC,Thornton (Vic.),4,3,26,17,59,77,0,36,8,35,26,296
VIC,Thorpdale,6,3,31,26,79,145,0,49,3,35,92,472
VIC,Thorpdale South,0,0,3,0,4,5,0,0,6,4,9,31
VIC,Thowgla Valley,0,0,3,8,14,22,0,5,3,8,13,79
VIC,Three Bridges,0,0,13,17,33,66,0,15,3,23,28,201
VIC,Timbarra (Vic.),0,0,0,0,0,0,0,0,0,0,0,0
VIC,Timboon,11,14,88,69,172,323,0,142,23,139,219,1199
